Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,AMI_10,Statin at Discharge,98,589,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,AMI_2,Aspirin prescribed at discharge,99,622,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,AMI_8a,Primary PCI Received Within 90 Minutes of Hospital Arrival,91,47,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_1b,ED1,286,476,2 - Data submitted were based on a sample of cases/patients.,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_2b,ED2,71,476,2 - Data submitted were based on a sample of cases/patients.,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Failure,HF_1,Discharge instructions,91,540,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Failure,HF_2,Evaluation of LVS Function,100,633,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Failure,HF_3,ACEI or ARB for LVSD,98,203,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_2,Immunization for influenza,94,534,2 - Data submitted were based on a sample of cases/patients.,10/1/2013,3/31/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_3_FAC_ADHPCT,Healthcare workers given influenza vaccination,56,3754,,10/1/2013,3/31/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_18b,OP 18,190,372,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_20,Door to diagnostic eval,53,383,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_21,Median time to pain med,72,122,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_22,Left before being seen,4,58375,,1/1/2013,12/31/2013
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,100,454,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,100,454,,10/1/2013,9/30/2014
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Pregnancy and Delivery Care,PC_01,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0,28,2 - Data submitted were based on a sample of cases/patients.,10/1/2013,9/30/2014
